"tsearch","eentry"
"สื่อสาร","communicate"
"สุก","ripen"
"สุก","be cooked"
"สุกปลั่ง","shine"
"สุข","be happy"
"สุขสันต์","be happy"
"สุขุม","be prudent"
"สุจริตใจ","be honest"
"สุดคำพูด","have nothing to say"
"สุ่ม","catch fish with a coop"
"หกกลับ","return"
"หกล้ม","fall"
"หงายหลัง","fall over"
"หน่วงเวลา","delay"
"หนักอกหนักใจ","be anxious"
"หน้าเง้าหน้างอ","frown"
"หนี","escape"
"หนี","avoid"
"หนีงาน","sneak out (the work)"
"หนีโรงเรียน","skip class"
"หนีหน้า","hide one's face"
"หนีหาย","escape"
"หมดกำลังใจ","dispirit"
"หมดตัว","become bankrupt"
"หมดทาง","have no way"
"หมดทางแก้ไข","have no solution"
"หมดทางไป","have no way out"
"หมดทางสู้","can't cope with"
"หมดทุกข์","be free of misery"
"หมดปัญญา","be at the end of one's wits"
"หมดพยศ","break a horse"
"หมดยุค","be outdated"
"หมดลม","pass away"
"หมดเวรหมดกรรม","end it all"
"หมดสติ","lose consciousness"
"หมดสนุก","have no fun"
"หมดสมรรถภาพ","be inefficient"
"หมดสิ้น","put an end to (a problem)"
"หมดหนทาง","reach a dead end"
"หมดอายุ","expire"
"หมดอาลัยตายอยาก","be hopeless"
"หมดอาลัยไยดี","be unconcerned"
"หม่นหมอง","grieve"
"หมุน","evolve"
"หมุนเวียน","circulate"
"หยด","drop"
"หยอด","drop"
"หยอด","end with"
"หยั่งรู้","enlighten"
"หยาม","despise"
"หยามหน้า","insult"
"หย่าร้าง","divorce"
"หย่าศึก","stop fighting"
"หยิก","pinch"
"หยิ่ง","be conceit"
"หยิ่งในศักดิ์ศรี","be proud of (one's achievement)"
"หยิ่งยโส","be self-important"
"หยิบยก","bring up (e.g. a topic)"
"หยุดนิ่ง","be motionless"
"หยุดปัญหา","end a problem"
"หยุดพัก","break"
"หลงระเริง","indulge in"
"หลงลมปาก","be beguiled"
"หลงลิ้น","be taken in by compliment"
"หลงเสน่ห์","be enchanted by"
"หลงเหลือ","be left over"
"หลงอำนาจ","be drunk with power"
"หล่น","fall"
"หลบฉาก","evade"
"หลบหนี","flee"
"หลบหลีก","avoid"
"หลบหัว","evade"
"หลวม","be negligent"
"หล่อ","protect (with water or oil)"
"หล่อ","cast"
"หลั่ง","run (e.g. of liquid)"
"หลั่งไหล","flow in"
"หลาก","overflow"
"หลีก","make way for"
"หลีกเลี่ยง","avoid"
"หลีกหนี","escape"
"หลุด","lose one's right"
"หลุด","succeed on escaping"
"หลุดพ้น","be free from evil"
"หลุดพ้น","get free from"
"หวง","be grudge"
"ห่วง","be concerned with/about"
"หวงตัว","preserve one's purity"
"หวงแหน","value highly"
"หวน","turn back"
"หวนคิด","recall"
"หวั่น","be afraid of"
"หวั่นเกรง","be apprehensive"
"หวั่นไหว","be shaken"
"หวาดเสียว","be adventurous"
"หวาน","keep turning"
"หว่าน","sow"
"ห่อ","wrap"
"หอบ","pant"
"หอบ","carry in arms"
"หอบ","transfer wealth"
"ห้อย","hang"
"ห้อยท้าย","attach"
"หักล้างถางพง","clear the jungle"
"หักเห","refract"
"หัด","practice"
"หัน","turn around"
"หัน","redirect"
"หั่น","cut"
"หันหน้า","turn one's head"
"หัวร่อต่อกระซิก","giggle"
"หัวเราะ","laugh"
"หาประโยชน์","exploit"
"ห้ามปราม","dissuade"
"หายสนิท","be completely healed"
"หายสูญ","be lost"
"หารายได้","make money"
"หาฤกษ์หายาม","pick an auspicious day"
"หาเลี้ยงตัว","earn one's living"
"หิวจัด","be very hungry"
"หีบ","press"
"หุงต้ม","cook"
"เห","turn"
"เหงาใจ","feel lonely"
"เห็นใจ","sympathize with"
"เห็นใจ","be present at a deathbed"
"เห็นชอบ","approve of"
"เห็นดีเห็นงาม","agree"
"เหนียว","be sticky"
"เหนี่ยว","pull"
"เหนื่อย","be tired"
"เหนื่อยใจ","be downhearted"
"เหนื่อยล้า","be weary"
"เหนื่อยหน่าย","be bored"
"เหม็น","be notorious"
"เหม็น","smell"
"เหม็นหน้า","dislike"
"เหม่อ","be absent-minded"
"เหมา","hire"
"เหมา","presume"
"เหมาะ","be suitable for"
"เหยียด","insult"
"เหยียด","stretch"
"เหยียดหยาม","insult"
"เหลา","sharpen"
"เหลียว","turn"
"เหลียวดู","glance"
"เหลือบมอง","glance"
"เหลื่อมล้ำ","be different"
"เห่อ","develop sores"
"เห่อ","be crazy about"
"เห่า","bark"
"เหาะ","soar into the air"
"เหินห่าง","become estranged"
"เหือดแห้ง","run dry"
"แห่","flock"
"แหย่","tease"
"แหย่","poke"
"โหดร้าย","be cruel"
"โหยหา","yearn for"
"ให้ความสนใจ","take an interest"
"ให้เงิน","give someone money"
"ให้ทุน","give a scholarship"
"ให้โทษ","be harmful"
"ให้ผล","give a result"
"ให้ผล","fruit"
"ให้พร","bless"
"ให้ยา","give a prescription"
"ให้ร้าย","defame"
"ให้อภัย","forgive"
"ให้","give"
"ให้","permit"
"ไหล","flow"
"ไหว","vibrate"
"ไหว้","pay respect"
"ไหว้พระ","pay homage to a Buddha image"
"อกสั่นขวัญแขวน","tremble with fright"
"อด","abstain"
"อด","miss"
"อด","bear"
"อดนอน","not get/have a wink of sleep"
"อดๆ อยากๆ","starve"
"อธิษฐาน","pray"
"อนุญาต","allow"
"อนุโลม","allow to grant"
"อนุโลม","adapt"
"อบรมเลี้ยงดู","nurture"
"อภัย","pardon"
"อยากรู้","eager to know"
"อยู่กับที่","fix"
"อยู่อาศัย","live"
"อ้วก","vomit"
"อวด","show off"
"อวดโก้","boast"
"อวดภูมิ","be pretentious"
"อวยพร","wish well"
"อวล","be full of perfume"
"อหังการ","be self-important"
"อโหสิ","forgive"
"ออ","crowd"
"ออกกฎหมาย","legislate"
"ออกกำลังกาย","exercise"
"ออกจาก","depart"
"ออกจากงาน","quit"
"ออกดอก","bloom"
"ออกดอก","lend"
"ออกดอก","cause a rash"
"ออกรบ","battle"
"ออกรวง","produce grains"
"ออกแรง","exert"
"ออกแรง","physically help"
"ออกฤทธิ์","activate"
"ออกฤทธิ์","run wild"
"ออกฤทธิ์ออกเดช","be out of control"
"ออกเสียง","vote"
"ออกเสียง","pronounce"
"ออกหมายเรียก","issue a warrant for"
"ออดอ้อนออเซาะ","talk sweetly"
"อ่อนใจ","fatigue"
"อ่อนเปลี้ยเพลียแรง","be exhausted"
"อ่อนระโหย","be weary"
"อ่อนแรง","be weak"
"อ่อนล้า","be exhausted"
"อ่อยเหยื่อ","flirt"
"อ่อยเหยื่อ","bait"
"อัด","record"
"อัด","pack"
"อัด","smoke"
"อัด","be crowded"
"อัด","hit"
"อัด","hold a breath"
"อัปยศอดสู","disgrace"
"เอ็นดู","be loving"
"ภูมิฐาน","be grand"
"มเหาฬาร","be grand"
"มอด","die out"
"มอด","die"
"ม่อต้อ","be dumpy"
"มอบฉันทะ","authorize"
"มอบตัว","surrender oneself"
"มอมเมา","lead astray"
"มอมเหล้า","make someone drunk"
"ม่อย","doze off"
"ม่อยหลับ","doze off"
"มะงุมมะงาหรา","travel"
"มะตี","die"
"มะรุมมะตุ้ม","besiege someone closely"
"มักคุ้น","be acquainted (with)"
"มักน้อย","be unambitious"
"มักมาก","be greedy"
"มักใหญ่","be ambitious"
"ภูษิต","decorate"
"เภท","break"
"โภค","eat"
"อ้างว้าง","isolate"
"อ้างสิทธิ์","claim"
"อาเจียน","vomit"
